key;value
professor;Ensino
biologa;Ciências Naturais
professora  do ensino superior;Ensino Universitário
historiador;Ciências Humanas
professor catedratico;Ensino Universitário
professora do ensino superior;Ensino Universitário
matematico;Ciências Exactas
psicologo/gestor;Psicologia/Sociologia
licenciada em psicologia;Psicologia/Sociologia
quimica tecnologica;Ciências Naturais
tecnica superior de biblioteca e documentacao;Função Pública
funcionario publico;Função Pública
advogado;Direito
"engenheira civil; professora universitaria";Engenharia
professor do ensino basico e secundario;Ensino
tecnico de servico social e cultural;Função Pública
gestora de recursos humanos;Gestão
"jurista (advogado c/inscricao na oa suspensa; a pedido do proprio)";Direito
subdiretor geral do emprego e das relacoes de trabalho;Função Pública
engenheiro;Engenharia
gestora de clientes corporate;Gestão
psicologa;Psicologia/Sociologia
quadro superior;Função Pública
professora 3o ceb e sec.;Ensino
medico;Saúde
jornalista;Jornalismo
economista - professor no ensino superior;Economista
tecnica superior jurista;Direito
empresario;Gestão
economista;Economista
consultora fiscal;Contabilidade
investigadora;Investigação
enfermeiro;Saúde
quadro tecnico bancario;Banca/Seguros
licenciado em ciencias de engenharia biologica;Ciências Naturais
atriz e produtora cultural;Artes
tecnico superior da administracao local;Função Pública
jurista/advogado;Direito
tecnico superior e professor universitario;Função Pública
jurista e professor universitario;Direito
aposentada;Reforma
museologo;Ciências Humanas
trabalhador tecnico superior em funcoes publicas / advogado (inscricao suspensa voluntariamente por nao exercicio atual);Função Pública
operario fabril;Outros
aposentado;Reforma
arquitecto;Arquitectura
eng. agronomo;Engenharia
tecnico superior da administracao publica;Função Pública
eng.o civil;Engenharia
jurista;Direito
arqueologa;Ciências Humanas
contabilista certificado;Contabilidade
afinador de maquinas;Outros
administrador de empresas;Gestão
designer grafica;Artes
"professora universitaria; advogada (inscricao suspensa)";Ensino Universitário
psicologa clinica;Psicologia/Sociologia
"jurista ( advogada com inscricao suspensa na ordem dos advogados; a pedido da propria)";Direito
gestor;Gestão
economista e jurista;Economista
gestor empresarial;Gestão
consultor de comunicacao;Consultoria
professor universitario;Ensino Universitário
professora escola publica;Ensino
tecnico superior;Função Pública
prof. universitario;Ensino Universitário
assistente tecnica;Função Pública
engenheiro do ambiente;Engenharia
assistente social;Função Pública
consultor;Consultoria
assistente comercial interna de seguros;Banca/Seguros
seguros;Banca/Seguros
medico dentista;Saúde
gestor/empresario;Gestão
engenheiro electrotecnico;Engenharia
fisioterapeuta;Saúde
administradora;Gestão
educadora de infancia;Ensino
jurista e empresaria;Direito
investigador em filosofia das ciencias;Investigação
sociologa - docente universitaria / investigadora;Investigação
quadro bancario;Banca/Seguros
tecnico tributario;Contabilidade
director bancario;Banca/Seguros
professora do ensino secundario;Ensino
licenciado em engenharia electrotecnica e de computadores;Engenharia
professora;Ensino
tecnica superior da administracao publica;Função Pública
actriz;Artes
engenheira civil;Engenharia
deputada;Outros
docente universitario;Ensino Universitário
sociologo;Psicologia/Sociologia
engenheiro civil;Engenharia
aposentado da autoridade tributaria;Reforma
engenheiro de recursos florestais;Engenharia
tec. superior iefp;Função Pública
tecnico agricola;Outros
tecnico superior do banco de portugal;Função Pública
professor universitario arquitecta;Ensino Universitário
gestor de ciencia;Gestão
empresario / jurista;Gestão
politologa;Ciências Humanas
tecnica superior de ciencias sociais;Função Pública
sociologa;Psicologia/Sociologia
gestora;Gestão
advogada;Direito
professor universitario jubilado;Reforma
docente;Ensino
professor do ensino basico;Ensino
economista - professor;Economista
avogado e professor universitario;Direito
biologo;Ciências Naturais
mestre em comunicacao e jornalismo;Jornalismo
licenciado em eng. civil/inspector principal da seg. social;Engenharia
medica;Saúde
investigador;Investigação
empresaria;Gestão
professora aposentada;Reforma
bancario;Banca/Seguros
operadora de call center;Outros
psicologo / formador;Psicologia/Sociologia
gestora de empresas/economista;Gestão
professora universitaria;Ensino Universitário
